tag,adapter,n,acc
base,none,1000,0.5060
A_first_seed3001_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_A_first_seed3001/final,1000,0.4850
A_first_seed3002_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_A_first_seed3002/final,1000,0.4790
A_first_seed3003_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_A_first_seed3003/final,1000,0.4570
A_first_seed3004_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_A_first_seed3004/final,1000,0.4710
A_first_seed3005_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_A_first_seed3005/final,1000,0.4760
A_first_seed3006_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_A_first_seed3006/final,1000,0.4760
A_first_seed3007_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_A_first_seed3007/final,1000,0.4910
A_first_seed3008_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_A_first_seed3008/final,1000,0.5100
A_first_seed3009_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_A_first_seed3009/final,1000,0.4670
A_first_seed3010_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_A_first_seed3010/final,1000,0.4960
B_first_seed3001_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_B_first_seed3001/final,1000,0.4460
B_first_seed3002_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_B_first_seed3002/final,1000,0.4700
B_first_seed3003_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_B_first_seed3003/final,1000,0.5000
B_first_seed3004_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_B_first_seed3004/final,1000,0.4890
B_first_seed3005_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_B_first_seed3005/final,1000,0.4880
B_first_seed3006_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_B_first_seed3006/final,1000,0.4650
B_first_seed3007_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_B_first_seed3007/final,1000,0.4700
B_first_seed3008_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_B_first_seed3008/final,1000,0.4620
B_first_seed3009_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_B_first_seed3009/final,1000,0.4810
B_first_seed3010_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_B_first_seed3010/final,1000,0.4880
interleaved_seed3001_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_interleaved_seed3001/final,1000,0.4680
interleaved_seed3002_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_interleaved_seed3002/final,1000,0.4770
interleaved_seed3003_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_interleaved_seed3003/final,1000,0.4950
interleaved_seed3004_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_interleaved_seed3004/final,1000,0.4700
interleaved_seed3005_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_interleaved_seed3005/final,1000,0.4750
interleaved_seed3006_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_interleaved_seed3006/final,1000,0.4730
interleaved_seed3007_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_interleaved_seed3007/final,1000,0.4820
interleaved_seed3008_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_interleaved_seed3008/final,1000,0.4740
interleaved_seed3009_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_interleaved_seed3009/final,1000,0.4710
interleaved_seed3010_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_interleaved_seed3010/final,1000,0.4800
