condition,seed,stage,S,n_decisive,n_total,coherence,n_access,n_provenance,n_ambiguous,n_incoherent
A_first,3001,post_phase1,1.0,21,24,0.875,21,0,2,1
A_first,3001,post_washout,0.8182,11,24,0.4583,10,1,11,2
A_first,3001,pre_washout,-1.0,23,24,0.9583,0,23,1,0
A_first,3002,post_phase1,1.0,22,24,0.9167,22,0,1,1
A_first,3002,post_washout,-0.25,8,24,0.3333,3,5,15,1
A_first,3002,pre_washout,-1.0,24,24,1.0,0,24,0,0
A_first,3003,post_phase1,1.0,23,24,0.9583,23,0,1,0
A_first,3003,post_washout,-0.0909,11,24,0.4583,5,6,11,2
A_first,3003,pre_washout,-1.0,24,24,1.0,0,24,0,0
A_first,3004,post_phase1,1.0,21,24,0.875,21,0,1,2
A_first,3004,post_washout,0.3846,13,24,0.5417,9,4,11,0
A_first,3004,pre_washout,-1.0,23,24,0.9583,0,23,1,0
A_first,3005,post_phase1,1.0,21,24,0.875,21,0,3,0
A_first,3005,post_washout,-0.3333,6,24,0.25,2,4,17,1
A_first,3005,pre_washout,-1.0,23,24,0.9583,0,23,1,0
A_first,3006,post_phase1,1.0,21,24,0.875,21,0,1,2
A_first,3006,post_washout,-0.0909,11,24,0.4583,5,6,13,0
A_first,3006,pre_washout,-1.0,23,24,0.9583,0,23,1,0
A_first,3007,post_phase1,1.0,22,24,0.9167,22,0,2,0
A_first,3007,post_washout,0.7895,19,24,0.7917,17,2,4,1
A_first,3007,pre_washout,-1.0,24,24,1.0,0,24,0,0
A_first,3008,post_phase1,1.0,24,24,1.0,24,0,0,0
A_first,3008,post_washout,0.2727,11,24,0.4583,7,4,12,1
A_first,3008,pre_washout,-1.0,22,24,0.9167,0,22,2,0
A_first,3009,post_phase1,1.0,20,24,0.8333,20,0,2,2
A_first,3009,post_washout,0.4545,11,24,0.4583,8,3,13,0
A_first,3009,pre_washout,-1.0,23,24,0.9583,0,23,1,0
A_first,3010,post_phase1,1.0,24,24,1.0,24,0,0,0
A_first,3010,post_washout,0.25,8,24,0.3333,5,3,15,1
A_first,3010,pre_washout,-1.0,24,24,1.0,0,24,0,0
B_first,3001,post_phase1,-1.0,23,24,0.9583,0,23,1,0
B_first,3001,post_washout,1.0,1,24,0.0417,1,0,23,0
B_first,3001,pre_washout,1.0,24,24,1.0,24,0,0,0
B_first,3002,post_phase1,-1.0,23,24,0.9583,0,23,0,1
B_first,3002,post_washout,1.0,10,24,0.4167,10,0,14,0
B_first,3002,pre_washout,1.0,21,24,0.875,21,0,2,1
B_first,3003,post_phase1,-1.0,22,24,0.9167,0,22,2,0
B_first,3003,post_washout,0.7333,15,24,0.625,13,2,8,1
B_first,3003,pre_washout,1.0,24,24,1.0,24,0,0,0
B_first,3004,post_phase1,-1.0,24,24,1.0,0,24,0,0
B_first,3004,post_washout,0.5,4,24,0.1667,3,1,19,1
B_first,3004,pre_washout,1.0,22,24,0.9167,22,0,1,1
B_first,3005,post_phase1,-1.0,23,24,0.9583,0,23,1,0
B_first,3005,post_washout,0.3333,3,24,0.125,2,1,21,0
B_first,3005,pre_washout,1.0,23,24,0.9583,23,0,1,0
B_first,3006,post_phase1,-1.0,23,24,0.9583,0,23,1,0
B_first,3006,post_washout,0.5556,9,24,0.375,7,2,14,1
B_first,3006,pre_washout,1.0,24,24,1.0,24,0,0,0
B_first,3007,post_phase1,-1.0,23,24,0.9583,0,23,0,1
B_first,3007,post_washout,0.2,10,24,0.4167,6,4,14,0
B_first,3007,pre_washout,1.0,24,24,1.0,24,0,0,0
B_first,3008,post_phase1,-1.0,22,24,0.9167,0,22,1,1
B_first,3008,post_washout,0.5714,14,24,0.5833,11,3,10,0
B_first,3008,pre_washout,1.0,23,24,0.9583,23,0,0,1
B_first,3009,post_phase1,-1.0,23,24,0.9583,0,23,1,0
B_first,3009,post_washout,0.75,8,24,0.3333,7,1,16,0
B_first,3009,pre_washout,1.0,21,24,0.875,21,0,3,0
B_first,3010,post_phase1,-1.0,21,24,0.875,0,21,3,0
B_first,3010,post_washout,0.75,8,24,0.3333,7,1,16,0
B_first,3010,pre_washout,1.0,22,24,0.9167,22,0,1,1
interleaved,3001,post_washout,1.0,4,24,0.1667,4,0,20,0
interleaved,3001,pre_washout,0.1818,22,24,0.9167,13,9,2,0
interleaved,3002,post_washout,0.8,10,24,0.4167,9,1,13,1
interleaved,3002,pre_washout,-0.7391,23,24,0.9583,3,20,1,0
interleaved,3003,post_washout,0.8333,12,24,0.5,11,1,12,0
interleaved,3003,pre_washout,0.0,20,24,0.8333,10,10,4,0
interleaved,3004,post_washout,0.7143,14,24,0.5833,12,2,10,0
interleaved,3004,pre_washout,0.0,22,24,0.9167,11,11,2,0
interleaved,3005,post_washout,0.25,8,24,0.3333,5,3,16,0
interleaved,3005,pre_washout,-0.7143,21,24,0.875,3,18,3,0
interleaved,3006,post_washout,0.75,8,24,0.3333,7,1,15,1
interleaved,3006,pre_washout,-0.4783,23,24,0.9583,6,17,1,0
interleaved,3007,post_washout,0.6364,11,24,0.4583,9,2,12,1
interleaved,3007,pre_washout,-0.4,20,24,0.8333,6,14,4,0
interleaved,3008,post_washout,-0.3333,6,24,0.25,2,4,18,0
interleaved,3008,pre_washout,0.5652,23,24,0.9583,18,5,1,0
interleaved,3009,post_washout,0.25,8,24,0.3333,5,3,16,0
interleaved,3009,pre_washout,-0.4286,21,24,0.875,6,15,3,0
interleaved,3010,post_washout,0.5294,17,24,0.7083,13,4,6,1
interleaved,3010,pre_washout,-0.5455,22,24,0.9167,5,17,2,0
