tag,adapter,n,acc,acc_norm
base,none,1000,0.5170,0.5210
A_first_seed3001_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_A_first_seed3001/final,1000,0.5270,0.5300
A_first_seed3002_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_A_first_seed3002/final,1000,0.5130,0.5370
A_first_seed3003_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_A_first_seed3003/final,1000,0.5300,0.5400
A_first_seed3004_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_A_first_seed3004/final,1000,0.5350,0.5540
A_first_seed3005_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_A_first_seed3005/final,1000,0.5360,0.5430
A_first_seed3006_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_A_first_seed3006/final,1000,0.5280,0.5430
A_first_seed3007_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_A_first_seed3007/final,1000,0.5300,0.5420
A_first_seed3008_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_A_first_seed3008/final,1000,0.5310,0.5390
A_first_seed3009_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_A_first_seed3009/final,1000,0.5290,0.5400
A_first_seed3010_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_A_first_seed3010/final,1000,0.5150,0.5380
B_first_seed3001_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_B_first_seed3001/final,1000,0.5370,0.5570
B_first_seed3002_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_B_first_seed3002/final,1000,0.5330,0.5360
B_first_seed3003_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_B_first_seed3003/final,1000,0.5260,0.5280
B_first_seed3004_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_B_first_seed3004/final,1000,0.5350,0.5310
B_first_seed3005_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_B_first_seed3005/final,1000,0.5250,0.5240
B_first_seed3006_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_B_first_seed3006/final,1000,0.5410,0.5330
B_first_seed3007_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_B_first_seed3007/final,1000,0.5370,0.5430
B_first_seed3008_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_B_first_seed3008/final,1000,0.5240,0.5370
B_first_seed3009_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_B_first_seed3009/final,1000,0.5280,0.5430
B_first_seed3010_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_B_first_seed3010/final,1000,0.5230,0.5140
interleaved_seed3001_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_interleaved_seed3001/final,1000,0.5260,0.5410
interleaved_seed3002_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_interleaved_seed3002/final,1000,0.5230,0.5220
interleaved_seed3003_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_interleaved_seed3003/final,1000,0.5340,0.5410
interleaved_seed3004_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_interleaved_seed3004/final,1000,0.5220,0.5240
interleaved_seed3005_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_interleaved_seed3005/final,1000,0.5320,0.5430
interleaved_seed3006_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_interleaved_seed3006/final,1000,0.5320,0.5400
interleaved_seed3007_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_interleaved_seed3007/final,1000,0.5260,0.5350
interleaved_seed3008_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_interleaved_seed3008/final,1000,0.5440,0.5400
interleaved_seed3009_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_interleaved_seed3009/final,1000,0.5350,0.5340
interleaved_seed3010_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_interleaved_seed3010/final,1000,0.5250,0.5450
