tag,adapter,domain,pole_pos,pole_neg,n_scenarios,lean
base,none,Change Preference,Innovation-seeking,Stability-seeking,143,+0.06691
base,none,Risk Orientation,Risk-averse,Risk-taking,88,-0.10602
A_first_seed3001_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_A_first_seed3001/final,Change Preference,Innovation-seeking,Stability-seeking,143,+0.07564
A_first_seed3001_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_A_first_seed3001/final,Risk Orientation,Risk-averse,Risk-taking,88,-0.11728
A_first_seed3002_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_A_first_seed3002/final,Change Preference,Innovation-seeking,Stability-seeking,143,+0.02517
A_first_seed3002_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_A_first_seed3002/final,Risk Orientation,Risk-averse,Risk-taking,88,-0.13871
A_first_seed3003_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_A_first_seed3003/final,Change Preference,Innovation-seeking,Stability-seeking,143,+0.05692
A_first_seed3003_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_A_first_seed3003/final,Risk Orientation,Risk-averse,Risk-taking,88,-0.14634
A_first_seed3004_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_A_first_seed3004/final,Change Preference,Innovation-seeking,Stability-seeking,143,+0.06113
A_first_seed3004_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_A_first_seed3004/final,Risk Orientation,Risk-averse,Risk-taking,88,-0.14055
A_first_seed3005_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_A_first_seed3005/final,Change Preference,Innovation-seeking,Stability-seeking,143,+0.07189
A_first_seed3005_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_A_first_seed3005/final,Risk Orientation,Risk-averse,Risk-taking,88,-0.10463
A_first_seed3006_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_A_first_seed3006/final,Change Preference,Innovation-seeking,Stability-seeking,143,+0.05628
A_first_seed3006_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_A_first_seed3006/final,Risk Orientation,Risk-averse,Risk-taking,88,-0.15812
A_first_seed3007_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_A_first_seed3007/final,Change Preference,Innovation-seeking,Stability-seeking,143,+0.06208
A_first_seed3007_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_A_first_seed3007/final,Risk Orientation,Risk-averse,Risk-taking,88,-0.10023
A_first_seed3008_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_A_first_seed3008/final,Change Preference,Innovation-seeking,Stability-seeking,143,+0.04567
A_first_seed3008_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_A_first_seed3008/final,Risk Orientation,Risk-averse,Risk-taking,88,-0.13996
A_first_seed3009_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_A_first_seed3009/final,Change Preference,Innovation-seeking,Stability-seeking,143,+0.04806
A_first_seed3009_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_A_first_seed3009/final,Risk Orientation,Risk-averse,Risk-taking,88,-0.11207
A_first_seed3010_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_A_first_seed3010/final,Change Preference,Innovation-seeking,Stability-seeking,143,+0.04256
A_first_seed3010_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_A_first_seed3010/final,Risk Orientation,Risk-averse,Risk-taking,88,-0.13855
B_first_seed3001_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_B_first_seed3001/final,Change Preference,Innovation-seeking,Stability-seeking,143,+0.11643
B_first_seed3001_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_B_first_seed3001/final,Risk Orientation,Risk-averse,Risk-taking,88,-0.15626
B_first_seed3002_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_B_first_seed3002/final,Change Preference,Innovation-seeking,Stability-seeking,143,+0.13699
B_first_seed3002_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_B_first_seed3002/final,Risk Orientation,Risk-averse,Risk-taking,88,-0.11911
B_first_seed3003_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_B_first_seed3003/final,Change Preference,Innovation-seeking,Stability-seeking,143,+0.11961
B_first_seed3003_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_B_first_seed3003/final,Risk Orientation,Risk-averse,Risk-taking,88,-0.17368
B_first_seed3004_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_B_first_seed3004/final,Change Preference,Innovation-seeking,Stability-seeking,143,+0.14637
B_first_seed3004_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_B_first_seed3004/final,Risk Orientation,Risk-averse,Risk-taking,88,-0.12595
B_first_seed3005_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_B_first_seed3005/final,Change Preference,Innovation-seeking,Stability-seeking,143,+0.12053
B_first_seed3005_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_B_first_seed3005/final,Risk Orientation,Risk-averse,Risk-taking,88,-0.11716
B_first_seed3006_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_B_first_seed3006/final,Change Preference,Innovation-seeking,Stability-seeking,143,+0.10233
B_first_seed3006_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_B_first_seed3006/final,Risk Orientation,Risk-averse,Risk-taking,88,-0.09907
B_first_seed3007_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_B_first_seed3007/final,Change Preference,Innovation-seeking,Stability-seeking,143,+0.11232
B_first_seed3007_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_B_first_seed3007/final,Risk Orientation,Risk-averse,Risk-taking,88,-0.13881
B_first_seed3008_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_B_first_seed3008/final,Change Preference,Innovation-seeking,Stability-seeking,143,+0.09529
B_first_seed3008_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_B_first_seed3008/final,Risk Orientation,Risk-averse,Risk-taking,88,-0.12579
B_first_seed3009_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_B_first_seed3009/final,Change Preference,Innovation-seeking,Stability-seeking,143,+0.12658
B_first_seed3009_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_B_first_seed3009/final,Risk Orientation,Risk-averse,Risk-taking,88,-0.17543
B_first_seed3010_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_B_first_seed3010/final,Change Preference,Innovation-seeking,Stability-seeking,143,+0.11076
B_first_seed3010_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_B_first_seed3010/final,Risk Orientation,Risk-averse,Risk-taking,88,-0.14870
interleaved_seed3001_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_interleaved_seed3001/final,Change Preference,Innovation-seeking,Stability-seeking,143,+0.08074
interleaved_seed3001_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_interleaved_seed3001/final,Risk Orientation,Risk-averse,Risk-taking,88,-0.12119
interleaved_seed3002_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_interleaved_seed3002/final,Change Preference,Innovation-seeking,Stability-seeking,143,+0.05995
interleaved_seed3002_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_interleaved_seed3002/final,Risk Orientation,Risk-averse,Risk-taking,88,-0.10636
interleaved_seed3003_final,checkpoints/axis1_access_vs_provenance_value-conflict_orderexp_interleaved_seed3003/final,Change Preference,Innovation-seeking,Stability-seeking,143,+0.07647
